Station Name,Efficiency,Transitivity,Centrality Type
Stratford,0.08891736066510689,0.05357142857142857,Degree Centrality
Bank and Monument,0.09673475608480861,0.04961832061068702,Degree Centrality
Baker Street,0.09704487984670325,0.0484472049689441,Degree Centrality
King's Cross St. Pancras,0.09698092211412515,0.05217391304347826,Degree Centrality
West Ham,0.09817790555353667,0.04838709677419355,Degree Centrality
Canning Town,0.09544761951591814,0.04797047970479705,Degree Centrality
Waterloo,0.0983898922965154,0.0484472049689441,Degree Centrality
Green Park,0.09918991960788402,0.04472049689440994,Degree Centrality
Oxford Circus,0.10044780407646106,0.04466501240694789,Degree Centrality
Liverpool Street,0.09794046203225844,0.04875,Degree Centrality
