station_origin,station_destination,flows,population,jobs,distance
Blackfriars,Blackfriars,1,6781,10849,0
Canary Wharf,Canary Wharf,0,14632,58772,0
Cannon Street,Cannon Street,0,3874,4698,0
Elephant & Castle,Elephant & Castle,0,9325,6427,0
Euston,Euston,0,17796,16800,0
Euston Square,Euston Square,0,4926,8093,0
Finsbury Park,Finsbury Park,0,24735,6769,0
Hackney Central,Hackney Central,0,3370,2440,0
Hackney Downs,Hackney Downs,1,843,835,0
Hammersmith,Hammersmith,0,11818,18250,0
Limehouse,Limehouse,38,5348,2969,0
Liverpool Street,Liverpool Street,0,31473,61122,0
London Bridge,London Bridge,4,32597,29930,0
Paddington,Paddington,5,23381,20198,0
Shadwell,Shadwell,1,6741,7447,0
Shepherd's Bush,Shepherd's Bush,0,10511,9890,0
Victoria,Victoria,0,37517,33251,0
Waterloo,Waterloo,58,67372,23466,0
Cannon Street,Mansion House,17,3874,7815,248.1787062
Mansion House,Cannon Street,1,516,4698,248.1787062
Poplar,West India Quay,3,2271,400,260.8625739
West India Quay,Poplar,0,162,1301,260.8625739
Canary Wharf,West India Quay,14,14632,400,327.2442162
West India Quay,Canary Wharf,0,162,58772,327.2442162
Bank and Monument,Cannon Street,70,29494,4698,329.3127161
Cannon Street,Bank and Monument,53,3874,78549,329.3127161
Charing Cross,Embankment,2,6491,10220,340.3308205
Embankment,Charing Cross,1,4081,7016,340.3308205
Canary Wharf,Heron Quays,52,14632,5975,351.5719874
Heron Quays,Canary Wharf,34,1788,58772,351.5719874
Covent Garden,Leicester Square,2,424,8847,365.5312991
Leicester Square,Covent Garden,0,985,4355,365.5312991
Leicester Square,Piccadilly Circus,2,985,13641,374.6914058
Piccadilly Circus,Leicester Square,2,1037,8847,374.6914058
Blackwall,East India,0,952,1522,391.3072056
East India,Blackwall,0,1760,665,391.3072056
Liverpool Street,Moorgate,172,31473,24574,434.0874486
Moorgate,Liverpool Street,200,4416,61122,434.0874486
Canada Water,Rotherhithe,37,27026,321,435.2544815
Rotherhithe,Canada Water,279,1589,20443,435.2544815
Goldhawk Road,Shepherd's Bush Market,0,1347,416,439.2894225
Shepherd's Bush Market,Goldhawk Road,0,1798,370,439.2894225
Rotherhithe,Wapping,32,1589,1066,450.5563619
Wapping,Rotherhithe,14,1251,321,450.5563619
Northfields,South Ealing,6,2952,670,452.9452907
South Ealing,Northfields,9,2176,864,452.9452907
Barbican,Farringdon,64,1239,25592,460.9099437
Farringdon,Barbican,170,5052,9134,460.9099437
Charing Cross,Leicester Square,28,6491,8847,462.0748168
Leicester Square,Charing Cross,4,985,7016,462.0748168
Crossharbour,Mudchute,8,1724,302,466.3698016
Mudchute,Crossharbour,12,1355,1208,466.3698016
All Saints,Langdon Park,25,740,1989,506.4239944
Langdon Park,All Saints,7,1468,444,506.4239944
Borough,London Bridge,7,1346,29930,514.5938673
London Bridge,Borough,48,32597,3254,514.5938673
Stratford,Stratford High Street,119,59311,788,519.3000735
Stratford High Street,Stratford,96,379,55954,519.3000735
Custom House,Prince Regent,2,785,754,524.4868788
Prince Regent,Custom House,0,936,845,524.4868788
Shepherd's Bush Market,Wood Lane,4,1798,1578,526.2629552
Wood Lane,Shepherd's Bush Market,2,1088,416,526.2629552
Goodge Street,Warren Street,1,366,17309,532.5730092
Warren Street,Goodge Street,12,1913,6457,532.5730092
Abbey Road,West Ham,130,599,5487,533.8424217
West Ham,Abbey Road,57,8879,345,533.8424217
Baker Street,Marylebone,3,7444,4250,538.2983258
Marylebone,Baker Street,7,6125,14973,538.2983258
Euston,Warren Street,26,17796,17309,546.2012019
Warren Street,Euston,8,1913,16800,546.2012019
Canada Water,Surrey Quays,422,27026,1005,549.516231
Surrey Quays,Canada Water,1324,3443,20443,549.516231
Island Gardens,Mudchute,2,1413,302,553.4510089
Mudchute,Island Gardens,2,1355,691,553.4510089
Latimer Road,Wood Lane,17,861,1578,553.8620754
Wood Lane,Latimer Road,40,1088,1109,553.8620754
Bond Street,Oxford Circus,5,2038,44368,554.3405653
Oxford Circus,Bond Street,4,2784,20967,554.3405653
St. James's Park,Westminster,7,1809,15466,560.7493399
Westminster,St. James's Park,12,1519,13339,560.7493399
Elverson Road,Lewisham,126,1151,2400,563.5457919
Lewisham,Elverson Road,26,7868,226,563.5457919
Barons Court,West Kensington,1,4052,1345,563.6761451
West Kensington,Barons Court,1,2715,2956,563.6761451
Chancery Lane,Holborn,8,1148,22346,565.4837124
Holborn,Chancery Lane,9,1662,15391,565.4837124
Earl's Court,West Brompton,58,8414,5859,567.3891918
West Brompton,Earl's Court,52,3831,6613,567.3891918
Charing Cross,Piccadilly Circus,81,6491,13641,571.8084397
Piccadilly Circus,Charing Cross,10,1037,7016,571.8084397
