Station Name,Efficiency,Transitivity,Centrality Type
Stratford,0.08891736066510689,0.05357142857142857,Degree Centrality
Bank and Monument,0.08586164448742485,0.05320600272851296,Degree Centrality
Baker Street,0.08203328759057034,0.05142857142857143,Degree Centrality
King's Cross St. Pancras,0.07570039409751211,0.053973013493253376,Degree Centrality
Canning Town,0.07039592695635104,0.05132192846034215,Degree Centrality
Green Park,0.06940235301523284,0.044189852700491,Degree Centrality
Earl's Court,0.0677717604548151,0.030821917808219176,Degree Centrality
Waterloo,0.06593580277595987,0.026595744680851064,Degree Centrality
Oxford Circus,0.06506900122239155,0.027472527472527472,Degree Centrality
Willesden Junction,0.056747518813518014,0.02835538752362949,Degree Centrality
